Team1,Team2,Result,goalDiff,extraTime,team1Odd,tieOdd,team2Odd,year,isPlayoffs
Italy,France,X,0,FALSE,154,181,224,2006,TRUE
Germany,Portugal,Germany,2,FALSE,-114,241,330,2006,TRUE
Portugal,France,France,-1,FALSE,292,186,120,2006,TRUE
Germany,Italy,Italy,-2,TRUE,146,189,227,2006,TRUE
Brazil,France,France,-1,FALSE,-133,241,399,2006,TRUE
England,Portugal,X,0,FALSE,110,199,300,2006,TRUE
Italy,Ukraine,Italy,3,FALSE,-175,248,594,2006,TRUE
Germany,Argentina,X,0,FALSE,150,206,199,2006,TRUE
Spain,France,France,-2,FALSE,137,200,221,2006,TRUE
Brazil,Ghana,Brazil,3,FALSE,-370,441,934,2006,TRUE
Switzerland,Ukraine,X,0,FALSE,137,211,217,2006,TRUE
Italy,Australia,Italy,1,FALSE,-192,282,595,2006,TRUE
Portugal,Netherlands,Portugal,1,FALSE,212,206,144,2006,TRUE
England,Ecuador,England,1,FALSE,-204,286,637,2006,TRUE
Argentina,Mexico,Argentina,1,TRUE,-278,326,918,2006,TRUE
Germany,Sweden,Germany,2,FALSE,-164,266,488,2006,TRUE
Switzerland,South Korea,Switzerland,2,FALSE,-103,197,343,2006,FALSE
Togo,France,France,-2,FALSE,1530,666,-769,2006,FALSE
Saudi Arabia,Spain,Spain,-1,FALSE,1603,606,-667,2006,FALSE
Ukraine,Tunisia,Ukraine,1,FALSE,-169,271,503,2006,FALSE
Croatia,Australia,Australia,0,FALSE,120,229,210,2006,FALSE
Japan,Brazil,Brazil,-3,FALSE,1100,500,-500,2006,FALSE
Czech Republic,Italy,Italy,-2,FALSE,295,215,-105,2006,FALSE
France,Switzerland,Switzerland,0,FALSE,-154,240,480,2006,FALSE
Australia,Japan,Australia,2,FALSE,150,215,179,2006,FALSE
Mexico,Iran,Mexico,2,FALSE,-179,265,587,2006,FALSE
Serbia and Montenegro,Netherlands,Netherlands,-1,FALSE,315,222,-106,2006,FALSE
Argentina,Ivory Coast,Argentina,1,FALSE,-167,259,543,2006,FALSE
Trinidad & Tobago,Sweden,Sweden,0,FALSE,1134,415,-345,2006,FALSE
England,Paraguay,England,1,FALSE,-152,242,484,2006,FALSE
Poland,Ecuador,Ecuador,-2,FALSE,-111,225,275,2006,FALSE
Germany,Costa Rica,Germany,2,FALSE,-400,417,1123,2006,FALSE
Netherlands,Spain,Spain,-1,TRUE,290,238,102,2010,TRUE
Uruguay,Germany,Germany,-1,FALSE,286,268,-108,2010,TRUE
Germany,Spain,Spain,-1,FALSE,181,238,152,2010,TRUE
Uruguay,Netherlands,Netherlands,-1,FALSE,468,254,-145,2010,TRUE
Paraguay,Spain,Spain,-1,FALSE,800,326,-238,2010,TRUE
Argentina,Germany,Germany,-4,FALSE,131,229,219,2010,TRUE
Uruguay,Ghana,X,0,FALSE,-116,237,351,2010,TRUE
Netherlands,Brazil,Netherlands,1,FALSE,309,227,100,2010,TRUE
Spain,Portugal,Spain,1,FALSE,100,223,319,2010,TRUE
Paraguay,Japan,X,0,FALSE,120,217,260,2010,TRUE
Brazil,Chile,Brazil,3,FALSE,-189,282,599,2010,TRUE
Netherlands,Slovakia,Netherlands,1,FALSE,-256,350,863,2010,TRUE
Argentina,Mexico,Argentina,2,FALSE,-164,273,524,2010,TRUE
Germany,England,Germany,3,FALSE,197,206,160,2010,TRUE
USA,Ghana,Ghana,-1,TRUE,141,210,222,2010,TRUE
Uruguay,South Korea,Uruguay,1,FALSE,-119,234,390,2010,TRUE
Chile,Spain,Spain,-1,FALSE,589,315,-196,2010,FALSE
Switzerland,Honduras,Honduras,0,FALSE,-182,301,562,2010,FALSE
North Korea,Ivory Coast,Ivory Coast,-3,FALSE,835,399,-286,2010,FALSE
Portugal,Brazil,Brazil,0,FALSE,250,192,138,2010,FALSE
Cameroon,Netherlands,Netherlands,-1,FALSE,453,281,-154,2010,FALSE
Denmark,Japan,Japan,-2,FALSE,125,224,237,2010,FALSE
Paraguay,New Zealand,New Zealand,0,FALSE,-256,348,852,2010,FALSE
Slovakia,Italy,Slovakia,1,FALSE,597,284,-182,2010,FALSE
Australia,Serbia,Australia,1,FALSE,346,259,-120,2010,FALSE
Ghana,Germany,Germany,-1,FALSE,680,334,-222,2010,FALSE
Slovenia,England,England,-1,FALSE,707,330,-222,2010,FALSE
USA,Algeria,USA,1,FALSE,-115,260,322,2010,FALSE
Greece,Argentina,Argentina,-2,FALSE,635,324,-208,2010,FALSE
Nigeria,South Korea,South Korea,0,FALSE,193,229,147,2010,FALSE
France,South Africa,South Africa,-1,FALSE,108,248,254,2010,FALSE
Mexico,Uruguay,Uruguay,-1,FALSE,274,-104,265,2010,FALSE
Spain,Honduras,Spain,2,FALSE,-833,777,2325,2010,FALSE
Chile,Switzerland,Chile,1,FALSE,117,218,267,2010,FALSE
Portugal,North Korea,Portugal,7,FALSE,-270,348,932,2010,FALSE
Brazil,Ivory Coast,Brazil,2,FALSE,-137,248,442,2010,FALSE
Italy,New Zealand,New Zealand,0,FALSE,-455,488,1573,2010,FALSE
Slovakia,Paraguay,Paraguay,-2,FALSE,287,224,106,2010,FALSE
Cameroon,Denmark,Denmark,-1,FALSE,189,220,156,2010,FALSE
Ghana,Australia,Australia,0,FALSE,137,215,223,2010,FALSE
Netherlands,Japan,Netherlands,1,FALSE,-227,316,794,2010,FALSE
England,Algeria,Algeria,0,FALSE,-435,488,1493,2010,FALSE
Slovenia,USA,USA,0,FALSE,275,222,112,2010,FALSE
Germany,Serbia,Serbia,-1,FALSE,-156,265,474,2010,FALSE
France,Mexico,Mexico,-2,FALSE,108,215,295,2010,FALSE
Greece,Nigeria,Greece,1,FALSE,279,218,112,2010,FALSE
Argentina,South Korea,Argentina,3,FALSE,-196,287,659,2010,FALSE
South Africa,Uruguay,Uruguay,-3,FALSE,237,202,138,2010,FALSE
Spain,Switzerland,Switzerland,-1,FALSE,-370,430,1332,2010,FALSE
Honduras,Chile,Chile,-1,FALSE,480,246,-143,2010,FALSE
Brazil,North Korea,Brazil,1,FALSE,-1000,861,3167,2010,FALSE
Ivory Coast,Portugal,Portugal,0,FALSE,296,220,106,2010,FALSE
New Zealand,Slovakia,Slovakia,0,FALSE,665,294,-200,2010,FALSE
Italy,Paraguay,Paraguay,0,FALSE,118,204,282,2010,FALSE
